Player,Unicorn Index,Positional Rank,Euclidean,Manhattan,Chebyshev
Steven Adams,0.418697889,22,0.410447731,0.525204758,0.320441179
Kyrie Irving,0.418452612,9,0.440570347,0.271611431,0.543176058
Anthony Tolliver,0.418201879,23,0.40652467,0.410309725,0.437771243
Rondae Hollis-Jefferson,0.415424869,10,0.421576336,0.526867378,0.297830892
CJ Miles,0.407925285,11,0.390962895,0.524635722,0.308177236
Julius Randle,0.406797199,24,0.418779913,0.392769453,0.40884223
DeAndre Jordan,0.406563045,25,0.410671078,0.504966266,0.304051791
PJ Tucker,0.405442941,26,0.393114448,0.529088589,0.294125787
Dirk Nowitzki,0.403440035,27,0.412662222,0.433980143,0.363677738
Bradley Beal,0.401684522,10,0.422420495,0.268556868,0.514076202
Davis Bertans,0.400301448,28,0.393240975,0.591443578,0.216219791
Marquese Chriss,0.397763799,29,0.407089031,0.393199812,0.393002554
Hassan Whiteside,0.397275188,30,0.387813102,0.543068157,0.260944306
Timothe Luwawu-Cabarrot,0.390576927,12,0.363441469,0.443872775,0.364416538
Thabo Sefolosha,0.384009158,13,0.391299426,0.559475622,0.201252425
Lance Thomas,0.383114263,31,0.389785233,0.295633951,0.463923606
Brandon Ingram,0.378351452,14,0.379931456,0.498238454,0.256884445
Jusuf Nurkic,0.375467943,32,0.362859619,0.343801875,0.419742335
Dante Cunningham,0.373096819,33,0.359731034,0.363841366,0.395718056
Hamidou Diallo,0.371834818,11,0.385880335,0.479316904,0.250307213
Deandre Ayton,0.371129881,34,0.337265289,0.459384716,0.316739639
Kyle Anderson,0.368458602,15,0.351287915,0.383155334,0.370932557
Klay Thompson,0.367264775,12,0.392935113,0.466028498,0.242830714
Jose Calderon,0.36613715,13,0.366277873,0.372590108,0.359543469
Kemba Walker,0.364243073,14,0.372697686,0.3183693,0.401662232
Kosta Koufos,0.361371433,35,0.354782457,0.455805756,0.273526085
Montrezl Harrell,0.359609878,36,0.339749257,0.376023879,0.363056498
Glenn Robinson III,0.355711798,16,0.326191227,0.405254208,0.33568996
Nerlens Noel,0.352156988,37,0.325389816,0.467272891,0.263808258
Moritz Wagner,0.350198913,38,0.322100579,0.380726922,0.347769238
Lauri Markkanen,0.346443826,39,0.326741578,0.389211634,0.323378267
Jrue Holiday,0.344350601,15,0.358748188,0.224655521,0.449648094
Ed Davis,0.342968779,40,0.343400595,0.350764583,0.334741158
Chris Paul,0.337148456,16,0.336785625,0.353057622,0.321602123
Jordan Bell,0.335106015,41,0.323951472,0.396678967,0.284687607
Khem Birch,0.334942389,42,0.31051506,0.413574899,0.280737209
Mike Scott,0.333679543,43,0.33172364,0.297346604,0.371968384
Domantas Sabonis,0.325265065,44,0.304061053,0.337182177,0.334551965
Khris Middleton,0.324658612,17,0.318492244,0.382507435,0.272976156
Shaun Livingston,0.324464689,17,0.325135488,0.392942726,0.255315852
Abdel Nader,0.324091331,18,0.305044053,0.359767619,0.30746232
Brook Lopez,0.323962021,45,0.31953169,0.391743731,0.260610641
Jared Dudley,0.323696601,46,0.311793903,0.328310907,0.330984994
Bismack Biyombo,0.318191076,47,0.305346889,0.457426301,0.19180004
Tyrone Wallace,0.31799282,18,0.328962348,0.29522648,0.329789632
Sam Dekker,0.314809037,48,0.30569544,0.350268516,0.288463155
Kyle Kuzma,0.314008968,49,0.292944817,0.312272755,0.336809332
Jonathon Simmons,0.311356383,19,0.30313541,0.397082293,0.233851446
Marc Gasol,0.306266662,50,0.331513747,0.404707514,0.182578724
Mike Conley,0.305306325,19,0.307485591,0.258451119,0.349982267
Ryan Broekhoff,0.303033991,20,0.309540353,0.313230247,0.286331374
Jamal Crawford,0.302703866,21,0.322922054,0.350550794,0.234638752
Jonah Bolden,0.294595976,51,0.28540226,0.42231127,0.176074397
Amir Johnson,0.291183623,52,0.283894895,0.368474688,0.221181287
Buddy Hield,0.290014243,22,0.294712959,0.355831227,0.219498544
Antonio Blakeney,0.28991286,23,0.291434407,0.300104828,0.278199347
Devonte' Graham,0.288240667,24,0.292115875,0.283436072,0.289170053
Myles Turner,0.284245245,53,0.281522123,0.365458799,0.205754813
Eric Bledsoe,0.282599751,25,0.276105877,0.320389488,0.251303887
John Collins,0.280262461,54,0.284127586,0.25443499,0.302224806
JaVale McGee,0.279343941,55,0.2803217,0.304577535,0.253132589
Zaza Pachulia,0.279329738,56,0.285511244,0.403646765,0.148831206
Jonas Valanciunas,0.276771734,57,0.259939557,0.309229945,0.2611457
Jerian Grant,0.27617231,26,0.28522154,0.333179443,0.210115947
Tony Parker,0.276053735,27,0.28429598,0.274136647,0.269728579
Jakob Poeltl,0.275416828,58,0.275035634,0.269840212,0.281374636
De'Anthony Melton,0.273492781,28,0.286950808,0.298204792,0.235322743
Donovan Mitchell,0.272657624,29,0.269424089,0.231156519,0.317392263
Alfonzo McKinnie,0.267258807,20,0.24900456,0.414743443,0.13802842
D.J. Wilson,0.267130925,59,0.256083907,0.270523691,0.274785176
Frank Ntilikina,0.266725174,30,0.296767227,0.255836624,0.24757167
Trae Young,0.266611069,31,0.287074775,0.291292784,0.221465647
Thon Maker,0.266502977,60,0.252091406,0.261554906,0.285862618
D'Angelo Russell,0.265288972,32,0.268113137,0.246635824,0.281117955
Jarrett Allen,0.264128045,61,0.265399579,0.303738757,0.223245798
Dragan Bender,0.263149179,62,0.268435025,0.303141582,0.217870931
Danny Green,0.26270967,33,0.273387046,0.27180641,0.242935554
Pascal Siakam,0.261534502,63,0.255401403,0.309641837,0.219560267
Darius Miller,0.258279468,21,0.271145881,0.309476036,0.194216486
Andre Iguodala,0.25825248,22,0.234706249,0.419229386,0.120821805
Zach LaVine,0.256909346,34,0.277292928,0.181980604,0.311454506
Andrew Wiggins,0.2563078,23,0.266174749,0.342396662,0.16035199
Bojan Bogdanovic,0.254997777,24,0.254330784,0.315720788,0.194941758
Cristiano Felicio,0.254745223,64,0.252033371,0.261834536,0.250367762
Evan Turner,0.253862107,35,0.247911199,0.251004395,0.262670728
Luke Kornet,0.253380413,65,0.240632889,0.300067852,0.219440496
Lou Williams,0.253047661,36,0.262325824,0.276870071,0.219947088
Boban Marjanovic,0.252921196,66,0.247557034,0.340351781,0.170854772
Solomon Hill,0.252593171,25,0.240752168,0.263937584,0.253089761
DeMarre Carroll,0.252537722,67,0.242635108,0.346271569,0.168706488
Matthew Dellavedova,0.251245455,37,0.260323565,0.305391444,0.188021357
Rajon Rondo,0.250672126,38,0.255015267,0.309884711,0.187116401
Meyers Leonard,0.250003749,68,0.248720704,0.36307838,0.138212163
Pat Connaughton,0.249385033,39,0.255749005,0.239606904,0.252799189
JJ Redick,0.24885496,40,0.251261811,0.174321739,0.320981328
Nikola Mirotic,0.247781115,69,0.253948113,0.315842366,0.173552864
Omari Spellman,0.247155863,70,0.237610752,0.22857355,0.275283287
Patrick Beverley,0.246113538,41,0.237423459,0.289390259,0.211526897
Josh Jackson,0.24496125,42,0.255823934,0.287520526,0.191539291
Allen Crabbe,0.241778331,43,0.251160841,0.285617907,0.188556245
Troy Brown Jr.,0.241400657,26,0.225335238,0.284706749,0.214159985
Maurice Harkless,0.240582634,27,0.238567835,0.181674419,0.301505649
De'Aaron Fox,0.240400201,44,0.248732474,0.225157681,0.247310449
Lonzo Ball,0.237759742,45,0.240709129,0.26973614,0.202833958
Chandler Hutchison,0.233506746,28,0.208863448,0.297693979,0.193962811
Terrance Ferguson,0.233359886,46,0.238870984,0.276742029,0.184466644
Nene,0.233307639,71,0.221771106,0.241188964,0.236962846
Elie Okobo,0.233171204,47,0.232386976,0.235828201,0.231298434
Aaron Gordon,0.232881639,72,0.216195096,0.229185224,0.253264596
Dante Exum,0.232537861,48,0.238637373,0.30062549,0.158350721
Larry Nance Jr.,0.232378713,73,0.217889315,0.245367083,0.233879743
James Johnson,0.231460816,74,0.251377104,0.297624497,0.145380846
Malik Monk,0.229694981,49,0.221301294,0.289553979,0.178229669
Frank Jackson,0.228850361,50,0.236412486,0.292665709,0.157472887
Dwayne Bacon,0.228629439,51,0.237473958,0.273072132,0.175342228
Mike Muscala,0.22812791,75,0.207070575,0.264010294,0.213302862
Al Horford,0.227955504,76,0.221007244,0.294036557,0.168822711
Rudy Gay,0.223976383,77,0.214022053,0.256112309,0.201794785
Dwight Powell,0.223554314,78,0.217282599,0.26790331,0.185477033
Royce O'Neale,0.220184029,29,0.201715031,0.342009509,0.116827546
Kyle Lowry,0.219831865,52,0.235912501,0.198422482,0.225160612
Enes Kanter,0.219427758,79,0.209579431,0.263703887,0.184999955
Kyle Korver,0.218359639,30,0.216462423,0.243111446,0.195505046
Bruce Brown,0.217879817,53,0.240699425,0.231119923,0.181820104
Wes Iwundu,0.217557563,31,0.2155882,0.298591943,0.138492548
Joe Harris,0.215899369,54,0.22582276,0.260228427,0.161646919
Greg Monroe,0.215825405,80,0.22551749,0.266671905,0.155286821
D.J. Augustin,0.215308063,55,0.235583649,0.260038157,0.150302383
Cheick Diallo,0.214746696,81,0.19805566,0.292135596,0.154048832
Vince Carter,0.213424757,82,0.231164428,0.140162218,0.268947625
Justise Winslow,0.213417017,32,0.208531249,0.352058399,0.079661402
T.J. Warren,0.212785451,33,0.203398817,0.319512036,0.1154455
Wayne Ellington,0.212028293,56,0.204385316,0.254827399,0.176872164
Collin Sexton,0.210760303,57,0.228666942,0.236826809,0.166787159
Tristan Thompson,0.210336088,83,0.194100357,0.264100179,0.172807729
Landry Shamet,0.20801842,58,0.210422147,0.223994994,0.18963812
Kevon Looney,0.206662956,84,0.192659421,0.239808257,0.187521188
Tony Snell,0.205105376,34,0.203821719,0.249081473,0.162412936
Troy Daniels,0.205079665,59,0.216926647,0.115991799,0.28232055
T.J. McConnell,0.204917426,60,0.199902917,0.247086154,0.167763205
Josh Hart,0.204558904,61,0.221700371,0.245432149,0.146544192
Aaron Holiday,0.204466344,62,0.214406874,0.188189763,0.210802395
Stanley Johnson,0.203495665,35,0.189404049,0.31503636,0.106046586
Sterling Brown,0.2033436,63,0.218502425,0.281339023,0.110189352
Kris Dunn,0.201956933,64,0.207800179,0.23271999,0.16535063
Marcin Gortat,0.201290781,85,0.196763786,0.314693574,0.092414983
Spencer Dinwiddie,0.200503438,65,0.203089871,0.293747807,0.104672636
Ivica Zubac,0.199608338,86,0.17863097,0.272029224,0.14816482
Juancho Hernangomez,0.198624435,87,0.188975598,0.178017706,0.22888
Shaquille Harrison,0.195162346,66,0.197614084,0.194492711,0.193380242
Jabari Parker,0.193391067,88,0.178136506,0.23923594,0.162800754
Furkan Korkmaz,0.193159003,67,0.184677976,0.191270271,0.203528762
Richaun Holmes,0.192120504,89,0.165241104,0.216587565,0.194532842
Dwyane Wade,0.189110341,68,0.192240006,0.228265188,0.146825828
Elfrid Payton,0.188978124,69,0.196642104,0.167486179,0.20280609
Derrick Favors,0.186113429,90,0.202079648,0.179316349,0.176944291
Marcus Morris,0.185949748,91,0.169632733,0.157662477,0.230554035
Wesley Matthews,0.185357904,36,0.153865696,0.2129055,0.189302517
Seth Curry,0.184481173,70,0.196082947,0.195749649,0.161610923
Gordon Hayward,0.183676747,92,0.18408345,0.174578826,0.192367965
Malik Beasley,0.183409802,71,0.191065975,0.148209585,0.210953847
Derrick Rose,0.182701307,72,0.198298045,0.240480262,0.109325614
Ian Clark,0.182321181,73,0.180690005,0.117720961,0.248552578
Malcolm Brogdon,0.181669962,74,0.195435557,0.227510146,0.122064185
Gerald Green,0.181499187,75,0.194676406,0.2226876,0.127133555
Thomas Bryant,0.181091356,93,0.177075867,0.258083121,0.108115082
Eric Gordon,0.181003529,76,0.175084124,0.196567057,0.171359405
Jake Layman,0.179742829,37,0.162211845,0.239581398,0.137435244
DeAndre' Bembry,0.179435857,77,0.172863923,0.169147388,0.196296259
Mason Plumlee,0.178833803,94,0.18581692,0.172752385,0.177932103
CJ McCollum,0.17878917,78,0.198804779,0.14754845,0.190014282
Jeff Teague,0.178671694,79,0.183532139,0.126631589,0.225851353
Bobby Portis,0.177560765,95,0.178643091,0.214631882,0.139407323
Langston Galloway,0.175824912,80,0.17298609,0.2005836,0.153905046
Nik Stauskas,0.175375869,81,0.184953582,0.096855551,0.244318476
Aron Baynes,0.175135879,96,0.151299404,0.253921935,0.1201863
Trey Lyles,0.174635925,97,0.160167276,0.231868991,0.131871508
Jonas Jerebko,0.173299639,98,0.16623316,0.167419937,0.18624582
Chasson Randle,0.172299452,82,0.171495595,0.113238523,0.23216424
Austin Rivers,0.172067555,83,0.177816665,0.188033956,0.150352044
Josh Okogie,0.172048833,84,0.184354342,0.25460313,0.077189028
Mario Hezonja,0.170748278,38,0.155289275,0.249442532,0.107513028
Tyler Dorsey,0.17073603,85,0.170477066,0.133876894,0.207854131
Quinn Cook,0.170556592,86,0.176414168,0.176047198,0.159208408
Joakim Noah,0.169938311,99,0.176561933,0.242747403,0.090505598
Jaylen Brown,0.169762141,87,0.162769471,0.167489168,0.179027785
Justin Jackson,0.169674565,39,0.146879683,0.269903424,0.092240587
Robin Lopez,0.168118001,100,0.15854706,0.29281546,0.052991485
Devin Harris,0.167179607,88,0.167680219,0.15154418,0.182314422
Harrison Barnes,0.166996744,40,0.163687409,0.211206011,0.126096811
Dion Waiters,0.165090299,89,0.167031552,0.216144598,0.112094748
Monte Morris,0.164340573,90,0.161667115,0.184623523,0.146731082
Dennis Smith Jr.,0.163160065,91,0.157767697,0.234230542,0.097481955
Kenrich Williams,0.162557592,41,0.161416783,0.195851588,0.130404406
David Nwaba,0.160806071,92,0.159853254,0.195401107,0.127163852
E'Twaun Moore,0.160417845,93,0.179026263,0.194284774,0.107942497
Thaddeus Young,0.159917539,101,0.145713198,0.2084021,0.12563732
Wilson Chandler,0.159752635,42,0.146022552,0.250429515,0.082805838
Terrence Ross,0.159125269,94,0.16163264,0.1527064,0.163036766
Tyus Jones,0.158928663,95,0.168438562,0.195450659,0.112896768
Harry Giles III,0.158185664,102,0.138269643,0.223139779,0.113147571
Yogi Ferrell,0.157952946,96,0.167370216,0.124315425,0.182173197
Serge Ibaka,0.154934053,103,0.156503232,0.17269232,0.135606609
Frank Kaminsky,0.15469505,104,0.142699607,0.237346568,0.084038974
Jamal Murray,0.151577327,97,0.147339741,0.107689403,0.199702836
Marcus Smart,0.150447601,98,0.153305138,0.135352035,0.162685631
Marvin Williams,0.149967604,105,0.159188696,0.195389166,0.09532495
Jeff Green,0.149693182,106,0.129917655,0.211043208,0.108118684
Wayne Selden,0.149638066,99,0.151254663,0.090302016,0.20735752
Willie Cauley-Stein,0.149277198,107,0.144309451,0.181084952,0.122437192
Mo Bamba,0.147710945,108,0.13711139,0.230137423,0.075884023
Bryn Forbes,0.146867546,100,0.1443701,0.105772243,0.190460295
Reggie Bullock,0.14459993,101,0.148258034,0.162591621,0.122950134
Trey Burke,0.144368662,102,0.137725201,0.189468875,0.105911911
Ish Smith,0.143768142,103,0.153944412,0.151419378,0.125940634
Justin Holiday,0.143762928,104,0.154408475,0.114247116,0.162633195
Tim Frazier,0.143033343,105,0.140184331,0.202546752,0.086368945
Torrey Craig,0.142966639,43,0.116725111,0.21903845,0.093136356
Kelly Oubre Jr.,0.141408676,44,0.133948295,0.197765909,0.092511826
Cory Joseph,0.139265951,106,0.14236869,0.181760448,0.093668715
Willy Hernangomez,0.139018949,109,0.137126574,0.229859468,0.050070805
Tim Hardaway Jr.,0.137845631,107,0.156287642,0.122463999,0.134785252
Markieff Morris,0.137300113,110,0.124223291,0.1684447,0.119232348
Tomas Satoransky,0.136824622,108,0.13963356,0.195611841,0.075228465
Jeremy Lamb,0.135822531,109,0.141855272,0.146837183,0.118775137
Ante Zizic,0.13429177,111,0.136783219,0.186908125,0.079183965
Marvin Bagley III,0.13373834,112,0.134897728,0.151247482,0.115069811
Delon Wright,0.13268908,110,0.132931526,0.151835942,0.113299774
Michael Kidd-Gilchrist,0.132643896,113,0.118653295,0.131678,0.147600393
Jayson Tatum,0.131702182,45,0.108115257,0.114382692,0.172608595
Bam Adebayo,0.131486719,114,0.131376043,0.150559462,0.112524652
Iman Shumpert,0.131085295,111,0.152490443,0.108405052,0.132360391
Taurean Prince,0.128134151,46,0.119266266,0.129243664,0.135892522
Kent Bazemore,0.12692947,112,0.139665894,0.142072647,0.099049868
Ricky Rubio,0.126660804,113,0.132021293,0.125287197,0.122673921
Jaren Jackson Jr.,0.126504169,115,0.121553271,0.221630189,0.036329048
Maxi Kleber,0.125311402,116,0.120903287,0.152547719,0.1024832
Marco Belinelli,0.122586253,114,0.127498437,0.123089314,0.117171007
Ersan Ilyasova,0.122383403,117,0.110993689,0.073422725,0.182733795
Shelvin Mack,0.121224249,115,0.129765269,0.130336172,0.103571307
Avery Bradley,0.120641243,116,0.132211029,0.153526819,0.076185882
Darren Collison,0.119831327,117,0.131292688,0.131880778,0.096320514
Jahlil Okafor,0.119730441,118,0.107130601,0.168134001,0.083926723
Josh Richardson,0.118801434,118,0.115390879,0.119923263,0.12109016
Alec Burks,0.118365448,119,0.112918658,0.189375133,0.052802553
Norman Powell,0.117959195,120,0.132560668,0.159587489,0.061729427
Daniel Theis,0.117505402,119,0.129461194,0.142171029,0.080883985
Patty Mills,0.115693387,121,0.115961598,0.129972601,0.101145963
Derrick White,0.113854268,122,0.115118606,0.15673727,0.069706929
Lance Stephenson,0.113313106,123,0.114258059,0.140796599,0.084884661
Jordan Clarkson,0.11170845,124,0.107006236,0.097028911,0.131090204
Jerami Grant,0.1114528,120,0.110048941,0.148217665,0.076091793
James Ennis III,0.110906052,47,0.095882472,0.169491436,0.067344247
Rodney McGruder,0.110322069,125,0.11857103,0.122935908,0.08945927
Otto Porter Jr.,0.109704693,48,0.083565336,0.160988287,0.084560457
Ryan Arcidiacono,0.109512029,126,0.117396105,0.131588982,0.079551
Jeremy Lin,0.107819754,127,0.104166373,0.120527808,0.098765081
Shai Gilgeous-Alexander,0.105625267,128,0.094800425,0.124610174,0.097465201
Shabazz Napier,0.105234452,129,0.109159286,0.117833922,0.088710148
Dorian Finney-Smith,0.104678639,49,0.095970309,0.130799133,0.087266476
Trevor Ariza,0.104223694,50,0.086131647,0.211022001,0.015517432
Wendell Carter Jr.,0.104089697,121,0.084576489,0.160171417,0.067521185
Allonzo Trier,0.103821212,130,0.107879873,0.139867115,0.063716648
Jae Crowder,0.102567904,51,0.08859511,0.146936029,0.072172574
Ivan Rabb,0.101668996,122,0.097229735,0.12208806,0.085689193
Tyreke Evans,0.101619142,131,0.114597199,0.134505818,0.055754409
Gorgui Dieng,0.099260741,123,0.080044209,0.163057563,0.054680451
Luke Kennard,0.098918925,132,0.104843959,0.098882535,0.09303028
Garrett Temple,0.097757144,133,0.105725419,0.114016134,0.073529878
Kevin Huerter,0.095843499,134,0.097271208,0.135335525,0.054923763
Fred VanVleet,0.088797237,135,0.090803875,0.129738963,0.045848871
Dario Saric,0.088445158,124,0.076230972,0.116265042,0.072839461
Kentavious Caldwell-Pope,0.087017863,136,0.097921453,0.077329116,0.085803021
Terry Rozier,0.084418916,137,0.084606262,0.124609248,0.044041239
Nicolas Batum,0.084140568,52,0.060579096,0.14040808,0.051434527
Al-Farouq Aminu,0.082312069,125,0.071809328,0.148819174,0.026307705
Paul Millsap,0.079203722,126,0.072811375,0.114181029,0.050618761
Jonathan Isaac,0.076191894,127,0.066471388,0.109791045,0.052313248
Dennis Schroder,0.068980166,138,0.071858553,0.05487471,0.080207237
OG Anunoby,0.067019726,53,0.052421546,0.050870354,0.097767278
Damyean Dotson,0.066968645,139,0.075533087,0.074863777,0.050509069
Cedi Osman,0.06626381,54,0.05971577,0.113624023,0.025451638
George Hill,0.065546843,140,0.066822506,0.045566631,0.084251392
Will Barton,0.065069047,141,0.063875663,0.072651501,0.058679978
Dewayne Dedmon,0.062851695,128,0.052398261,0.078538433,0.057618391
Reggie Jackson,0.062428172,142,0.070807886,0.053535401,0.062941228
Kelly Olynyk,0.062340188,129,0.055851327,0.068803513,0.062365724
Jalen Brunson,0.057424021,143,0.061051595,0.055427221,0.055793247
Mikal Bridges,0.054361596,55,0.038090896,0.0941631,0.030830792
Rodney Hood,0.051485215,144,0.060011806,0.064954336,0.029489502
Emmanuel Mudiay,0.049332116,145,0.056513368,0.028996651,0.062486329
Taj Gibson,0.045920941,130,0.034291542,0.0865523,0.016918981
Evan Fournier,0.045005828,146,0.053109495,0.070709667,0.011198323
Cody Zeller,0.042055451,131,0.038467842,0.087698509,0
JaMychal Green,0.041753487,132,0.032920252,0.074902959,0.017437248
Zach Collins,0.036427188,133,0.018114059,0.014775276,0.07639223
Bogdan Bogdanovic,0.024120305,147,0.01939101,0.038153993,0.014815912
Alex Len,0.019641457,134,0,0,0.058924372
Nemanja Bjelica,0.017955356,135,0.002347398,0.012074216,0.039444454
Noah Vonleh,0.015524471,136,0.004091176,0.023595961,0.018886277
Rodions Kurucs,0.011814032,56,0.003435106,0.032006991,0
Gary Harris,0.010443131,148,0.011060012,0.020269382,0
Miles Bridges,0.008145416,57,0,0,0.024436249
Tyler Johnson,0.002960716,149,0,0,0.008882149
